,spotify_id,daily_rank,popularity,is_explicit,duration_ms,album_name,album_release_date,time_signature,rank,artists_num,artist_individual,artist_id,artist_genre,album_num_tracks,weeks_on_chart,duration,region,language,track_name,artist_names,country,loudness,tempo,artist_count_df1,bpm_df1,artist_count_df2,streams,bpm_df2,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,has_lyrics,lyrics_url,scraped,primary_artist,feat_artist,lyric_url,is_english,is_english_lyrics,overall_sentiments,overall_emotions,topics,overall_topics
2616,0lLdorYw7lVrJydTINhWdI,,,,,,,,3.0,1.0,Michael Bubl̩,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,adult standards,16.0,26.0,206640.0,Oceania,English,It's Beginning to Look a Lot like Christmas,Michael Bubl̩,Australia,-11.714,94.775,,,,1620665.0,,4,1,0.339,0.363,0.214,0.908,7.47e-06,0.341,0.0375,"October 21, 2011",True,,True,Michael Bubl̩,,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics,1,1,positive sentiment,emotion is joy,"['song about happiness and celebration', 'song about happiness and celebration', 'song about happiness and celebration', 'song about happiness and celebration']",song about happiness and celebration
2617,474uVhyGgK5MtY9gMcDgGl,,,,,,,,127.0,1.0,Rainbow Kitten Surprise,spotify:artist:4hz8tIajF2INpgM0qzPJz2,modern rock,13.0,3.0,152293.0,North America,English,It's Called: Freefall,Rainbow Kitten Surprise,United States,-6.365,97.944,,,,1612324.0,,2,1,0.744,0.281,0.516,0.632,0.0,0.605,0.0513,"April 6, 2018",True,,True,Rainbow Kitten Surprise,,https://genius.com/Rainbow-kitten-surprise-its-called-freefall-lyrics,1,1,negative sentiment,emotion is disgust,"['song about social issues', 'song about loss and grief', 'song about social issues', 'song about loss and grief', 'song about nature and the environment', 'song about personal growth', 'song about nature and the environment', 'song about social issues', 'song about nature and the environment', 'song about personal growth']",song about social issues
2618,6rOuxWBbbGG61MoEpfnzoI,31.0,69.0,0.0,181200.0,It's Not Easy to Write a Love Song,2024-03-02,4.0,,,,,,,,,,,It's Not Easy to Write a Love Song,Dotter,SE,-4.7,149.704,,,,,,1,1,0.503,0.363,0.762,0.0399,1.06e-06,0.355,0.0511,"March 2, 2024",True,,True,Dotter,,https://genius.com/Dotter-its-not-easy-to-write-a-love-song-lyrics,1,1,negative sentiment,emotion is sadness,"['song about love', 'song about social issues', 'song about loss and grief', 'song about love', 'song about spirituality and faith', 'song about loss and grief', 'song about love', 'song about love', 'song about personal growth', 'song about love']",song about love
2619,5OFVzqSeFxGpvDGyHvVeLj,41.0,83.0,0.0,152304.0,It's Not Right But It's Okay,2024-02-23,4.0,,,,,,,,,,,It's Not Right But It's Okay,Mr. Belt & Wezol,NL,-4.811,128.004,,,,,,5,0,0.755,0.618,0.86,0.0144,7.47e-06,0.344,0.0523,,False,,False,,,,1,1,,,,
2620,7bkMZXudiowZtnLFDDqm8k,46.0,48.0,0.0,150569.0,Full Time Job,2024-10-04,4.0,,,,,,,,,,,It's Nothing,Phyno,NG,-4.535,88.899,,,,,,6,1,0.615,0.492,0.953,0.636,0.0,0.428,0.329,,False,,False,,,,1,1,,,,
2621,4M8vvrtbDu8hTMqOgvA2Sj,13.0,32.0,0.0,149765.0,It's Okay,2024-01-15,4.0,,,,,,,,,,,It's Okay,Queen Parker,VE,-14.429,79.968,,,,,,7,1,0.595,0.493,0.378,0.803,0.0,0.142,0.205,,False,,False,,,,1,1,,,,
2622,5hVjoL3sHepZROri63wBxP,,,,,,,,2.0,1.0,Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa,nigerian hip hop,19.0,1.0,216992.0,Africa,English,It's Plenty,Burna Boy,Nigeria,-10.609,107.035,,,,388571.0,,7,1,0.775999999999999,0.53,0.565,0.36,8.80999999999999e-05,0.308,0.105,"July 8, 2022",True,,True,Burna Boy,,https://genius.com/Burna-boy-its-plenty-lyrics,1,1,negative sentiment,emotion is optimism,"['song about happiness and celebration', 'song about happiness and celebration', 'song about love', 'song about happiness and celebration', 'song about happiness and celebration', 'song about love', 'song about happiness and celebration', 'song about happiness and celebration']",song about happiness and celebration
2623,1qIwin7JMVuX70qN6wD8ww,48.0,72.0,1.0,278000.0,100 GIGS,2024-08-30,4.0,,,,,,,,,,,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",CA,-4.881,139.942,,,,,,1,1,0.783,0.294,0.723,0.0264,0.0,0.159,0.135,"August 6, 2024",True,,True,Drake,"Young Thug, 21 Savage",https://genius.com/Drake-young-thug-and-21-savage-its-up-lyrics,1,1,negative sentiment,emotion is anger,"['song about social issues', 'song about social issues', 'song about ambition and success', 'song about ambition and success', 'song about social issues', 'song about ambition and success', 'song about social issues', 'song about loss and grief']",song about social issues
2624,5DqdesEfbRyOlSS3Tf6c29,,,,,,,,112.0,1.0,Ali Gatie,spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T,pop,9.0,95.0,212607.0,Asia,English,It's You,Ali Gatie,Singapore,-6.972,95.971,,,,51394.0,,11,0,0.732,0.397,0.462999999999999,0.374,0.0,0.193999999999999,0.0287,"June 14, 2019",True,,True,Ali Gatie,,https://genius.com/Ali-gatie-its-you-lyrics,1,1,negative sentiment,emotion is sadness,"['song about love', 'song about loss and grief', 'song about love', 'song about love', 'song about love', 'song about ambition and success']",song about love
2625,7rdnB5DAyPbaj51TCQRcqW,,,,,,,,88.0,1.0,Sezairi,spotify:artist:51sob9QZyfLff9XqvYluN5,singaporean singer-songwriter,1.0,17.0,251440.0,Asia,English,It's You,Sezairi,Singapore,-8.285,137.915,,,,59430.0,,8,1,0.63,0.166,0.456,0.545,0.0,0.114,0.0317,"April 15, 2018",True,,True,Sezairi,,https://genius.com/Sezairi-its-you-lyrics,1,1,positive sentiment,emotion is sadness,"['song about happiness and celebration', 'song about personal growth', 'song about love', 'song about spirituality and faith', 'song about personal growth', 'song about love', 'song about love', 'song about love']",song about love
2626,24XihnoVPWXlKJ4BgXqjVM,30.0,87.0,1.0,156521.0,It's ok I'm ok,2024-09-12,4.0,,,,,,,,,,,It's ok I'm ok,Tate McRae,SG,-7.721,114.997,,,,,,1,0,0.754,0.363,0.514,0.0257,3.98e-05,0.0808,0.0471,"September 12, 2024",True,,True,Tate McRae,,https://genius.com/Tate-mcrae-its-ok-im-ok-lyrics,1,1,negative sentiment,emotion is disgust,"['song about personal growth', 'song about happiness and celebration', 'song about love', 'song about loss and grief', 'song about loss and grief', 'song about love', 'song about love', 'song about loss and grief', 'song about ambition and success', 'song about loss and grief', 'song about personal growth', 'song about love']",song about loss and grief
